TASUB2018_V1_00,TASUB2018_V1_00_NAME,LAND_AREA_SQ_KM,AREA_SQ_KM
101,North Cape Subdivision,1113.324598,1290.273141
102,Whatuwhiwhi Subdivision,350.746586,350.746586
103,Doubtless Bay Subdivision,213.320454,220.1110671
104,Kaitaia Subdivision,644.1767851,649.620856
105,North Hokianga Subdivision,902.9533172,972.9579102
106,South Hokianga Subdivision,930.0999783,981.9944107
107,Kaikohe Subdivision,462.5039965,474.9334322
108,Whangaroa Subdivision,721.6857123,746.1908863
109,Kerikeri Subdivision,298.8521973,372.061448
110,Paihia Subdivision,161.3980311,171.2820849
111,Russell-Opua Subdivision,487.5605926,694.8526162
112,Kawakawa-Moerewa Subdivision,393.0974271,393.0974271
299,Area Outside Subdivision,2712.13052,2854.33054
399,Area Outside Subdivision,3108.710953,3114.57985
1199,Area Outside Subdivision,2207.079168,2298.782565
1299,Area Outside Subdivision,1270.087068,1270.087068
1399,Area Outside Subdivision,4403.282847,4516.062518
1599,Area Outside Subdivision,1755.407019,1755.407019
1699,Area Outside Subdivision,110.3728233,110.93642
1701,Cambridge Subdivision,73.66460991,73.66460991
1702,Maungatautari Subdivision,437.2503036,437.2503036
1703,Te Awamutu Subdivision,55.2614226,55.2614226
1704,Kakepuku Subdivision,464.7611543,464.7611543
1799,Area Outside Subdivision,439.1371189,439.1371189
1801,Aotea Subdivision,0.70531283,0.70531283
1802,Kawhia Subdivision,0.91827837,0.91827837
1899,Area Outside Subdivision,1997.548725,2062.742679
1999,Area Outside Subdivision,1818.902232,1818.902232
2099,Area Outside Subdivision,3534.799133,3548.186744
2199,Area Outside Subdivision,6333.586388,6964.024033
2299,Area Outside Subdivision,1951.030287,2117.44335
2399,Area Outside Subdivision,135.1164046,174.962057
2499,Area Outside Subdivision,2408.999006,2618.946516
2501,Galatea-Waiohau Subdivision,1043.722312,1043.722312
2502,Murupara Subdivision,1.87732207,1.87732207
2503,Te Urewera Subdivision,999.6507544,999.6507544
2599,Area Outside Subdivision,2404.768362,2419.477953
2699,Area Outside Subdivision,23.63192487,23.63192487
2799,Area Outside Subdivision,3089.21892,3100.06754
2899,Area Outside Subdivision,8385.826619,8385.826619
2999,Area Outside Subdivision,4076.876449,4130.139895
3001,Tutira Subdivision,1738.651242,1738.651242
3002,Kaweka Subdivision,1710.004407,1710.004407
3003,Maraekakaho Subdivision,967.8959182,967.8959182
3004,Poukawa Subdivision,594.1191881,594.1191881
3099,Area Outside Subdivision,216.0980296,216.0980296
3199,Area Outside Subdivision,104.902836,105.7918713
3299,Area Outside Subdivision,3333.046811,3333.046811
3399,Area Outside Subdivision,2205.524838,2205.524838
3499,Area Outside Subdivision,2163.418803,2163.418803
3599,Area Outside Subdivision,3575.136754,3575.136754
3699,Area Outside Subdivision,6734.40496,6734.40496
3701,Whanganui Subdivision,1811.477859,1811.477859
3702,Kai-Iwi Subdivision,233.2998146,233.2998146
3703,Kaitoke Subdivision,286.2908128,286.2908128
3799,Area Outside Subdivision,42.18914213,42.18914213
3899,Area Outside Subdivision,4483.744379,4483.744379
3999,Area Outside Subdivision,2566.736667,2566.736667
4099,Area Outside Subdivision,394.7046518,394.7046518
4199,Area Outside Subdivision,4364.57649,4364.57649
4299,Area Outside Subdivision,1063.990784,1063.990784
4399,Area Outside Subdivision,731.499998,731.499998
4499,Area Outside Subdivision,174.8097955,182.4482717
4599,Area Outside Subdivision,539.8689961,539.8689961
4699,Area Outside Subdivision,376.4034048,376.5316735
4799,Area Outside Subdivision,289.7759871,289.9121821
4899,Area Outside Subdivision,2300.195973,2300.195973
4999,Area Outside Subdivision,1179.968979,1179.968979
5099,Area Outside Subdivision,2386.93692,2457.844834
5199,Area Outside Subdivision,9615.976035,14800.2537
5299,Area Outside Subdivision,422.195242,447.2116208
5399,Area Outside Subdivision,10457.74549,12484.59556
5499,Area Outside Subdivision,2046.791831,2046.791831
5599,Area Outside Subdivision,7943.337089,7949.683062
5699,Area Outside Subdivision,3474.304412,3515.449116
5799,Area Outside Subdivision,11827.81438,11889.05062
5899,Area Outside Subdivision,8640.921154,8654.458886
5901,Oxford Subdivision,1376.86571,1376.86571
5902,Ashley Subdivision,412.9353085,412.9353085
5903,Rangiora Subdivision,30.36434344,30.36434344
5904,Ohoka-Swannanoa Subdivision,243.2455966,243.2455966
5999,Area Outside Subdivision,154.0205214,154.0205214
6001,Harewood Subdivision,113.5182935,113.5182935
6002,Waimairi Subdivision,10.4724173,10.4724173
6003,Papanui Subdivision,10.49916925,10.49916925
6004,Fendalton Subdivision,9.07874755,9.07874755
6005,Innes Subdivision,41.98221419,41.98221419
6006,Burwood Subdivision,20.49106269,20.49106269
6007,Coastal Subdivision,31.81545593,38.11708283
6008,Hornby Subdivision,46.72067473,46.72067473
6009,Halswell Subdivision,46.24182552,46.24182552
6010,Riccarton Subdivision,9.61781148,9.61781148
6011,Spreydon Subdivision,10.075397,10.075397
6012,Central Subdivision,13.21863697,13.21863697
6013,Cashmere Subdivision,23.8942274,23.8942274
6014,Linwood Subdivision,16.45537191,16.45537191
6015,Heathcote Subdivision,38.2361905,41.08261969
6016,Lyttelton Subdivision,9.27611985,19.89368268
6017,Mount Herbert Subdivision,154.3616779,194.9261559
6018,Wairewa Subdivision,371.9112249,441.1668975
6019,Akaroa Subdivision,437.988801,501.1590544
6201,Tawera Subdivision,4509.823976,4546.555334
6202,Hawkins Subdivision,405.1205206,405.1205206
6299,Area Outside Subdivision,1465.942346,1600.906442
6399,Area Outside Subdivision,6181.689033,6189.517195
6499,Area Outside Subdivision,2732.404945,2733.03118
6599,Area Outside Subdivision,7138.660624,7442.354157
6699,Area Outside Subdivision,3554.462613,3583.124245
6799,Area Outside Subdivision,793.9472196,13577.68922
6899,Area Outside Subdivision,7107.878543,7216.649569
6999,Area Outside Subdivision,9933.423701,9968.473872
7099,Area Outside Subdivision,8719.706685,9375.197718
7199,Area Outside Subdivision,3286.2578,3350.40769
7299,Area Outside Subdivision,6334.410483,6369.412752
7301,Edendale Subdivision,212.5621092,212.5621092
7302,Wyndham Subdivision,384.2444827,384.2444827
7399,Area Outside Subdivision,28955.54864,30487.52157
7499,Area Outside Subdivision,1253.829457,1253.829457
7599,Area Outside Subdivision,389.8756705,495.3247123
7601,Wellsford Subdivision,640.4990845,2096.496444
7602,Warkworth Subdivision,668.468615,1463.023662
7603,Kumeu Subdivision,852.828381,2136.584789
7604,Dairy Flat Subdivision,113.2884422,113.3068797
7605,Hibiscus Coast Subdivision,79.69243908,339.54142
7606,East Coast Bays Subdivision,30.38559726,115.0839883
7607,Owairaka Subdivision,14.48837493,19.14557965
7608,Maungawhau Subdivision,13.85316892,13.85316892
7609,Maungakiekie Subdivision,17.40884745,19.84880139
7610,Tamaki Subdivision,18.96658938,22.73624881
7611,Pakuranga Subdivision,15.27998814,28.06046222
7612,Howick Subdivision,14.61587111,26.429229
7613,Botany Subdivision,39.78878107,40.8766756
7614,Papatoetoe Subdivision,24.97276252,30.73814555
7615,Otara Subdivision,12.13694516,12.94512523
7616,Waiuku Subdivision,299.7615045,1046.931574
7617,Pukekohe Subdivision,271.7202556,410.2625647
7618,Wairoa Subdivision,628.2725441,824.8131266
7699,Area Outside Subdivision,1185.144365,7395.932177
99999,Area Outside Subdivision,30.01097712,127028.8759
